Time(s),Setpoint (C),Temperature (C),TotalOutput (%),PIDOutput (%)
0.4917764663696289,0.0,23.421,0.0,-3.779750108718872
0.516068696975708,0.0,23.433,0.0,-3.761293411254883
0.5585968494415283,0.0,23.508,0.0,-3.745093822479248
0.5751631259918213,0.0,23.479,0.0,-3.730105400085449
0.6058402061462402,0.0,23.478,0.0,-3.714017391204834
0.6381189823150635,0.0,23.466,0.0,-3.683370590209961
0.6693956851959229,0.0,23.451,0.0,-3.6685428619384766
0.7006103992462158,0.0,23.478,0.0,-3.6559829711914062
0.7333924770355225,0.0,23.459,0.0,-3.644547939300537
0.7660057544708252,0.0,23.464,0.0,-3.622250556945801
0.7970218658447266,0.0,23.436,0.0,-3.6114351749420166
0.8295798301696777,0.0,23.429,0.0,-3.601433515548706
0.8608901500701904,0.0,23.429,0.0,-3.5929934978485107
0.886746883392334,0.0,23.426,0.0,-3.5853798389434814
0.9233856201171875,0.0,23.416,0.0,-3.5713038444519043
0.9549508094787598,0.0,23.41,0.0,-3.5649075508117676
0.990875244140625,0.0,23.453,0.0,-3.5550568103790283
1.0196776390075684,0.0,23.472,0.0,-3.5519824028015137
1.0581107139587402,0.0,23.468,0.0,-3.5498862266540527
1.0908825397491455,0.0,23.456,0.0,-3.5449485778808594
1.1210463047027588,0.0,23.43,0.0,-3.542614698410034
1.1529757976531982,0.0,23.436,0.0,-3.539241075515747
1.1934161186218262,0.0,23.427,0.0,-3.533843994140625
1.2167720794677734,0.0,23.438,0.0,-3.5319480895996094
1.2571053504943848,0.0,23.48,0.0,-3.5317697525024414
1.2907707691192627,0.0,23.489,0.0,-3.531799793243408
1.322479009628296,0.0,23.486,0.0,-3.5315911769866943
1.3569116592407227,0.0,23.466,0.0,-3.530931234359741
1.391813039779663,0.0,23.451,0.0,-3.528101921081543
1.4187953472137451,0.0,23.444,0.0,-3.526399850845337
1.4507555961608887,0.0,23.432,0.0,-3.524474620819092
1.4896395206451416,0.0,23.427,0.0,-3.5233147144317627
1.5214800834655762,0.0,23.418,0.0,-3.520022392272949
1.5540399551391602,0.0,23.405,0.0,-3.518115282058716
1.584897756576538,0.0,23.405,0.0,-3.516300916671753
1.608708143234253,0.0,23.405,0.0,-3.5151565074920654
1.6425178050994873,0.0,23.434,0.0,-3.5138893127441406
1.670245885848999,0.0,23.441,0.0,-3.5144429206848145
1.7020061016082764,0.0,23.433,0.0,-3.515148639678955
1.7406349182128906,0.0,23.411,0.0,-3.5154294967651367
1.7736320495605469,0.0,23.415,0.0,-3.514598846435547
1.8069534301757812,0.0,23.413,0.0,-3.5141096115112305
1.8369481563568115,0.0,23.389,0.0,-3.5136361122131348
1.8706891536712646,0.0,23.44,0.0,-3.5119359493255615
1.9011671543121338,0.0,23.451,0.0,-3.513075590133667
1.9175472259521484,0.0,23.451,0.0,-3.5144166946411133
1.9499061107635498,0.0,23.459,0.0,-3.516244888305664
1.9899468421936035,0.0,23.425,0.0,-3.5164661407470703
2.022321939468384,0.0,23.423,0.0,-3.51581072807312
2.0521323680877686,0.0,23.43,0.0,-3.514829635620117
2.0793039798736572,0.0,23.442,0.0,-3.5148184299468994
2.110708713531494,0.0,23.414,0.0,-3.515307903289795
