Time(s),Setpoint (C),Temperature (C),TotalOutput (%),PIDOutput (%)
0.4454982280731201,0.0,22.264,0.0,-3.6303489208221436
0.47579526901245117,0.0,22.261,0.0,-3.6124634742736816
0.5060551166534424,0.0,22.262,0.0,-3.5940024852752686
0.5467939376831055,0.0,22.227,0.0,-3.5572147369384766
0.5779974460601807,0.0,22.219,0.0,-3.538577079772949
0.60970139503479,0.0,22.205,0.0,-3.5207314491271973
0.6428873538970947,0.0,22.188,0.0,-3.486987352371216
0.6746068000793457,0.0,22.203,0.0,-3.4725255966186523
0.7063601016998291,0.0,22.201,0.0,-3.4593558311462402
0.7320077419281006,0.0,22.208,0.0,-3.4471333026885986
0.7571549415588379,0.0,22.23,0.0,-3.4362874031066895
0.7936344146728516,0.0,22.25,0.0,-3.419814109802246
0.8249692916870117,0.0,22.254,0.0,-3.412945508956909
0.8567817211151123,0.0,22.245,0.0,-3.406881093978882
0.8860247135162354,0.0,22.209,0.0,-3.4004101753234863
0.9204056262969971,0.0,22.216,0.0,-3.3866679668426514
0.9463405609130859,0.0,22.205,0.0,-3.3805861473083496
0.9761550426483154,0.0,22.213,0.0,-3.3755459785461426
1.0088276863098145,0.0,22.209,0.0,-3.3710451126098633
1.042191505432129,0.0,22.252,0.0,-3.364471435546875
1.0734338760375977,0.0,22.27,0.0,-3.3626508712768555
1.1048126220703125,0.0,22.297,0.0,-3.3615989685058594
1.145508050918579,0.0,22.244,0.0,-3.359039306640625
1.1704585552215576,0.0,22.261,0.0,-3.3567020893096924
1.205155849456787,0.0,22.238,0.0,-3.3553309440612793
1.2404723167419434,0.0,22.261,0.0,-3.352034330368042
1.2759490013122559,0.0,22.266,0.0,-3.3512940406799316
1.3081679344177246,0.0,22.281,0.0,-3.350494146347046
1.340815544128418,0.0,22.262,0.0,-3.3492608070373535
1.37164306640625,0.0,22.245,0.0,-3.3475735187530518
1.4028151035308838,0.0,22.194,0.0,-3.3440001010894775
1.4298436641693115,0.0,22.21,0.0,-3.3411293029785156
1.4599719047546387,0.0,22.21,0.0,-3.3394935131073
1.4927325248718262,0.0,22.227,0.0,-3.337773561477661
1.5245029926300049,0.0,22.216,0.0,-3.3369617462158203
1.5585341453552246,0.0,22.199,0.0,-3.3346900939941406
1.589057445526123,0.0,22.204,0.0,-3.333250045776367
1.6225550174713135,0.0,22.224,0.0,-3.33365797996521
