Time(s),Setpoint (C),Temperature (C),TotalOutput (%),PIDOutput (%)
1.1924552917480469,0.0,23.07499885559082,0.0,0.0
1.3068344593048096,0.0,23.142498016357422,0.0,0.0
1.4092938899993896,0.0,23.228246688842773,0.0,0.0
1.517153263092041,0.0,23.28042221069336,0.0,0.0
1.6381819248199463,0.0,23.302379608154297,0.0,0.0
1.7557203769683838,0.0,23.34714126586914,0.0,0.0
1.8596370220184326,0.0,23.337427139282227,0.0,0.0
1.9719171524047852,0.0,23.37868309020996,0.0,0.0
2.084559440612793,0.0,23.415813446044922,0.0,0.0
2.18624210357666,0.0,23.44923210144043,0.0,0.0
2.304788112640381,0.0,23.47930908203125,0.0,0.0
2.40498685836792,0.0,23.48137855529785,0.0,0.0
2.6013262271881104,0.0,23.50823974609375,0.0,0.0
2.8224806785583496,0.0,23.53241539001465,0.0,0.0
3.048243761062622,0.0,23.504173278808594,0.0,0.0
3.2727856636047363,0.0,23.478755950927734,0.0,0.0
3.498229503631592,0.0,23.50588035583496,0.0,0.0
3.723341703414917,0.0,23.48029327392578,0.0,0.0
3.948845624923706,0.0,23.457263946533203,0.0,0.0
4.173898220062256,0.0,23.48653793334961,0.0,0.0
4.399254322052002,0.0,23.487884521484375,0.0,0.0
4.624310493469238,0.0,23.464096069335938,0.0,0.0
4.850370645523071,0.0,23.442686080932617,0.0,0.0
5.075143575668335,0.0,23.39841651916504,0.0,0.0
5.3005595207214355,0.0,23.35857391357422,0.0,0.0
5.5255677700042725,0.0,23.372716903686523,0.0,0.0
5.751202344894409,0.0,23.360445022583008,0.0,0.0
5.976180791854858,0.0,23.374401092529297,0.0,0.0
6.201699733734131,0.0,23.386960983276367,0.0,0.0
6.427252531051636,0.0,23.37326431274414,0.0,0.0
6.651766300201416,0.0,23.360939025878906,0.0,0.0
6.877346038818359,0.0,23.29984474182129,0.0,0.0
7.102719068527222,0.0,23.344860076904297,0.0,0.0
7.328220367431641,0.0,23.385374069213867,0.0,0.0
7.5533576011657715,0.0,23.421836853027344,0.0,0.0
7.778389930725098,0.0,23.404653549194336,0.0,0.0
