Time(s),Setpoint (C),Temperature (C),TotalOutput (%),PIDOutput (%)
0.9558043479919434,0.0,21.163,0.0,-3.2280092239379883
0.9929454326629639,0.0,21.171,0.0,-3.2190356254577637
1.0246031284332275,0.0,21.178,0.0,-3.2154901027679443
1.0578749179840088,0.0,21.18,0.0,-3.2124557495117188
1.0911495685577393,0.0,21.195,0.0,-3.2064952850341797
1.1232507228851318,0.0,21.204,0.0,-3.2044677734375
1.1466400623321533,0.0,21.194,0.0,-3.2028818130493164
1.1741423606872559,0.0,21.179,0.0,-3.200874090194702
1.2048633098602295,0.0,21.196,0.0,-3.1983630657196045
1.238590955734253,0.0,21.204,0.0,-3.195854663848877
1.268277883529663,0.0,21.211,0.0,-3.1947240829467773
1.2971956729888916,0.0,21.23,0.0,-3.1939215660095215
1.338505506515503,0.0,21.213,0.0,-3.192976474761963
1.3719449043273926,0.0,21.205,0.0,-3.192387580871582
1.3980236053466797,0.0,21.181,0.0,-3.191145896911621
1.4390857219696045,0.0,21.189,0.0,-3.187615156173706
1.488389492034912,0.0,21.183,0.0,-3.1849939823150635
1.519634485244751,0.0,21.179,0.0,-3.183779001235962
1.5474796295166016,0.0,21.17,0.0,-3.1823878288269043
1.5893874168395996,0.0,21.203,0.0,-3.182346820831299
1.6194260120391846,0.0,21.195,0.0,-3.182158946990967
1.6440768241882324,0.0,21.179,0.0,-3.1812937259674072
1.6890079975128174,0.0,21.157,0.0,-3.1786818504333496
1.7392988204956055,0.0,21.176,0.0,-3.1773970127105713
1.781888484954834,0.0,21.169,0.0,-3.1772561073303223
1.8170409202575684,0.0,21.178,0.0,-3.177027463912964
1.8586540222167969,0.0,21.168,0.0,-3.1767609119415283
1.8929810523986816,0.0,21.177,0.0,-3.1762828826904297
1.9234669208526611,0.0,21.186,0.0,-3.1764512062072754
1.9552600383758545,0.0,21.186,0.0,-3.176952600479126
1.9888005256652832,0.0,21.153,0.0,-3.1767354011535645
2.027979850769043,0.0,21.145,0.0,-3.1757616996765137
2.0600268840789795,0.0,21.148,0.0,-3.174668550491333
2.093376874923706,0.0,21.161,0.0,-3.173774242401123
2.123595952987671,0.0,21.157,0.0,-3.173811674118042
2.1563408374786377,0.0,21.178,0.0,-3.173677444458008
2.1890053749084473,0.0,21.199,0.0,-3.1759510040283203
2.2198095321655273,0.0,21.194,0.0,-3.176892042160034
2.250645399093628,0.0,21.207,0.0,-3.178705930709839
2.2820630073547363,0.0,21.21,0.0,-3.179551601409912
2.3153445720672607,0.0,21.212,0.0,-3.1809749603271484
2.355696201324463,0.0,21.21,0.0,-3.1810455322265625
2.3818981647491455,0.0,21.201,0.0,-3.181417465209961
2.4146623611450195,0.0,21.217,0.0,-3.181879997253418
2.4481217861175537,0.0,21.21,0.0,-3.1820106506347656
2.473388433456421,0.0,21.208,0.0,-3.1820945739746094
2.5109431743621826,0.0,21.19,0.0,-3.1820592880249023
2.5423004627227783,0.0,21.18,0.0,-3.180546283721924
2.5754575729370117,0.0,21.171,0.0,-3.1796491146087646
2.6080663204193115,0.0,21.168,0.0,-3.178572177886963
2.6401548385620117,0.0,21.163,0.0,-3.176663398742676
2.671630620956421,0.0,21.163,0.0,-3.1757259368896484
2.689286708831787,0.0,21.163,0.0,-3.175220251083374
2.731642007827759,0.0,21.204,0.0,-3.1755125522613525
2.76343035697937,0.0,21.199,0.0,-3.1775927543640137
2.7954554557800293,0.0,21.226,0.0,-3.179342746734619
2.828073501586914,0.0,21.237,0.0,-3.1814918518066406
2.8596317768096924,0.0,21.249,0.0,-3.1828083992004395
2.906966209411621,0.0,21.219,0.0,-3.184452533721924
2.9424357414245605,0.0,21.212,0.0,-3.183842897415161
2.974472999572754,0.0,21.212,0.0,-3.183483123779297
3.0065300464630127,0.0,21.192,0.0,-3.1827704906463623
3.0385234355926514,0.0,21.208,0.0,-3.1816930770874023
3.069964647293091,0.0,21.216,0.0,-3.181950807571411
3.1019978523254395,0.0,21.218,0.0,-3.182145118713379
3.1392362117767334,0.0,21.196,0.0,-3.181621789932251
3.166626453399658,0.0,21.2,0.0,-3.1810355186462402
3.1885080337524414,0.0,21.203,0.0,-3.18074893951416
3.223895788192749,0.0,21.211,0.0,-3.1806535720825195
3.250563859939575,0.0,21.224,0.0,-3.1809167861938477
3.2989301681518555,0.0,21.216,0.0,-3.181867837905884
3.32993745803833,0.0,21.205,0.0,-3.1820621490478516
3.3658559322357178,0.0,21.197,0.0,-3.181163787841797
3.393787145614624,0.0,21.191,0.0,-3.180459976196289
3.4248287677764893,0.0,21.168,0.0,-3.179455041885376
3.4559879302978516,0.0,21.179,0.0,-3.178178310394287
3.4912919998168945,0.0,21.18,0.0,-3.1773152351379395
3.523211717605591,0.0,21.188,0.0,-3.1773953437805176
3.555520534515381,0.0,21.183,0.0,-3.1776373386383057
3.59128475189209,0.0,21.173,0.0,-3.1769065856933594
3.619166612625122,0.0,21.169,0.0,-3.176323413848877
3.651170253753662,0.0,21.172,0.0,-3.1758840084075928
3.682934284210205,0.0,21.158,0.0,-3.17568302154541
3.7074317932128906,0.0,21.168,0.0,-3.174952507019043
3.7416205406188965,0.0,21.175,0.0,-3.174146890640259
3.7815418243408203,0.0,21.173,0.0,-3.1745219230651855
3.815722942352295,0.0,21.16,0.0,-3.174379348754883
3.8455846309661865,0.0,21.181,0.0,-3.17541241645813
3.877528429031372,0.0,21.185,0.0,-3.1758010387420654
3.9088127613067627,0.0,21.195,0.0,-3.1762757301330566
3.948091745376587,0.0,21.171,0.0,-3.1771345138549805
3.9743409156799316,0.0,21.193,0.0,-3.176724672317505
4.007184267044067,0.0,21.196,0.0,-3.1773319244384766
4.047640562057495,0.0,21.199,0.0,-3.178511619567871
4.0791521072387695,0.0,21.193,0.0,-3.1791272163391113
4.111263275146484,0.0,21.201,0.0,-3.1791768074035645
4.158848524093628,0.0,21.209,0.0,-3.1795265674591064
4.201130390167236,0.0,21.209,0.0,-3.180598258972168
4.232738733291626,0.0,21.224,0.0,-3.181366443634033
4.257582902908325,0.0,21.224,0.0,-3.182159185409546
4.29638671875,0.0,21.221,0.0,-3.183133125305176
4.347219228744507,0.0,21.205,0.0,-3.183804988861084
4.3778345584869385,0.0,21.195,0.0,-3.183170795440674
4.409433126449585,0.0,21.209,0.0,-3.1822457313537598
4.443933725357056,0.0,21.229,0.0,-3.181363344192505
4.483194828033447,0.0,21.234,0.0,-3.1822516918182373
4.510669469833374,0.0,21.228,0.0,-3.183143138885498
4.5495522022247314,0.0,21.23,0.0,-3.184481620788574
4.580135107040405,0.0,21.233,0.0,-3.184668779373169
4.6125876903533936,0.0,21.226,0.0,-3.1849262714385986
4.643307447433472,0.0,21.238,0.0,-3.18522572517395
4.676549196243286,0.0,21.236,0.0,-3.1854867935180664
4.709035873413086,0.0,21.238,0.0,-3.185634136199951
4.742448091506958,0.0,21.221,0.0,-3.185236692428589
4.773223400115967,0.0,21.253,0.0,-3.186119318008423
4.805786609649658,0.0,21.232,0.0,-3.186917543411255
4.839950323104858,0.0,21.242,0.0,-3.1866092681884766
4.868263244628906,0.0,21.213,0.0,-3.1854536533355713
4.8936450481414795,0.0,21.204,0.0,-3.184173583984375
4.924361228942871,0.0,21.248,0.0,-3.1850249767303467
4.956119537353516,0.0,21.253,0.0,-3.1856815814971924
4.988052845001221,0.0,21.233,0.0,-3.186394691467285
5.020171880722046,0.0,21.23,0.0,-3.1863174438476562
5.051095962524414,0.0,21.227,0.0,-3.1858975887298584
5.091277599334717,0.0,21.242,0.0,-3.1857151985168457
5.123289346694946,0.0,21.244,0.0,-3.1863019466400146
5.155122756958008,0.0,21.24,0.0,-3.186457395553589
5.1924357414245605,0.0,21.236,0.0,-3.186189889907837
5.219772577285767,0.0,21.222,0.0,-3.185431480407715
5.251546621322632,0.0,21.239,0.0,-3.1851370334625244
5.283766746520996,0.0,21.224,0.0,-3.1853294372558594
5.3158793449401855,0.0,21.225,0.0,-3.184519052505493
5.348060131072998,0.0,21.22,0.0,-3.184056520462036
5.392396926879883,0.0,21.19,0.0,-3.181720018386841
5.420197248458862,0.0,21.171,0.0,-3.179853677749634
5.441202878952026,0.0,21.175,0.0,-3.1785941123962402
5.477032899856567,0.0,21.187,0.0,-3.1781442165374756
5.510468244552612,0.0,21.21,0.0,-3.177818536758423
5.541942596435547,0.0,21.222,0.0,-3.179143190383911
5.573867321014404,0.0,21.229,0.0,-3.1801183223724365
5.6018993854522705,0.0,21.228,0.0,-3.181178092956543
5.642322063446045,0.0,21.198,0.0,-3.182110071182251
5.674020051956177,0.0,21.185,0.0,-3.181427001953125
5.706991910934448,0.0,21.186,0.0,-3.1803548336029053
5.738816022872925,0.0,21.18,0.0,-3.179572582244873
5.7718729972839355,0.0,21.174,0.0,-3.177826404571533
5.802252292633057,0.0,21.204,0.0,-3.177985668182373
5.835046291351318,0.0,21.211,0.0,-3.1785426139831543
5.867026329040527,0.0,21.194,0.0,-3.1791422367095947
5.898674964904785,0.0,21.178,0.0,-3.1783711910247803
5.93061900138855,0.0,21.182,0.0,-3.1774888038635254
5.96167778968811,0.0,21.209,0.0,-3.177278518676758
5.994860649108887,0.0,21.216,0.0,-3.1793253421783447
6.026124000549316,0.0,21.202,0.0,-3.1795647144317627
6.058906555175781,0.0,21.198,0.0,-3.179583787918091
6.092308759689331,0.0,21.199,0.0,-3.179109573364258
6.117835998535156,0.0,21.207,0.0,-3.1792783737182617
6.151273965835571,0.0,21.199,0.0,-3.1797471046447754
6.182147264480591,0.0,21.208,0.0,-3.179774761199951
6.215777397155762,0.0,21.203,0.0,-3.1802725791931152
6.2471301555633545,0.0,21.202,0.0,-3.1800527572631836
6.2796125411987305,0.0,21.191,0.0,-3.180133581161499
6.312127113342285,0.0,21.201,0.0,-3.1797330379486084
6.343157768249512,0.0,21.21,0.0,-3.1803064346313477
6.37593936920166,0.0,21.206,0.0,-3.1804959774017334
6.407767295837402,0.0,21.204,0.0,-3.1804304122924805
6.440026521682739,0.0,21.193,0.0,-3.1805036067962646
6.471368074417114,0.0,21.193,0.0,-3.1797800064086914
6.503511428833008,0.0,21.214,0.0,-3.180417537689209
6.535191297531128,0.0,21.223,0.0,-3.1806583404541016
6.567196607589722,0.0,21.237,0.0,-3.182685136795044
6.59920072555542,0.0,21.241,0.0,-3.1836154460906982
6.626374244689941,0.0,21.23,0.0,-3.1844921112060547
6.661224126815796,0.0,21.213,0.0,-3.184694528579712
6.69329047203064,0.0,21.202,0.0,-3.1832470893859863
6.725317001342773,0.0,21.204,0.0,-3.18251895904541
6.757754564285278,0.0,21.217,0.0,-3.1820342540740967
6.79285740852356,0.0,21.236,0.0,-3.183128595352173
6.825972080230713,0.0,21.256,0.0,-3.183588743209839
6.861369848251343,0.0,21.237,0.0,-3.185030221939087
6.8924431800842285,0.0,21.232,0.0,-3.1853530406951904
6.92472243309021,0.0,21.226,0.0,-3.185101270675659
6.957063674926758,0.0,21.198,0.0,-3.1838042736053467
6.994264841079712,0.0,21.197,0.0,-3.1818201541900635
7.020707607269287,0.0,21.2,0.0,-3.181260108947754
7.053276777267456,0.0,21.192,0.0,-3.1804957389831543
7.084991693496704,0.0,21.209,0.0,-3.1809613704681396
7.117556810379028,0.0,21.198,0.0,-3.1805598735809326
7.14991307258606,0.0,21.214,0.0,-3.180903196334839
7.194541931152344,0.0,21.2,0.0,-3.1803464889526367
7.22503399848938,0.0,21.236,0.0,-3.1801669597625732
7.256875991821289,0.0,21.243,0.0,-3.1815459728240967
7.292074680328369,0.0,21.245,0.0,-3.184046983718872
7.321485280990601,0.0,21.2,0.0,-3.1831557750701904
7.3528947830200195,0.0,21.186,0.0,-3.1823341846466064
7.38532829284668,0.0,21.195,0.0,-3.181107997894287
7.420166730880737,0.0,21.209,0.0,-3.1806910037994385
