Time(s),Setpoint (C),Temperature (C),TotalOutput (%),PIDOutput (%)
0.8447067737579346,0.0,22.5,0.0,0.0
0.9485125541687012,0.0,22.424999237060547,0.0,0.0
1.0604498386383057,0.0,22.407499313354492,0.0,0.0
1.172459602355957,0.0,22.391748428344727,0.0,0.0
1.282846212387085,0.0,22.377573013305664,0.0,0.0
1.3961577415466309,0.0,22.36481475830078,0.0,0.0
1.5092823505401611,0.0,22.378332138061523,0.0,0.0
1.62154221534729,0.0,22.36549949645996,0.0,0.0
1.7328736782073975,0.0,22.328948974609375,0.0,0.0
1.9193658828735352,0.0,22.271053314208984,0.0,0.0
2.144991397857666,0.0,22.26894760131836,0.0,0.0
2.3699018955230713,0.0,22.29205322265625,0.0,0.0
2.5951013565063477,0.0,22.23784637451172,0.0,0.0
2.8207128047943115,0.0,22.214061737060547,0.0,0.0
3.0461320877075195,0.0,22.217655181884766,0.0,0.0
3.2711734771728516,0.0,22.220890045166016,0.0,0.0
3.4966530799865723,0.0,22.223800659179688,0.0,0.0
3.7220041751861572,0.0,22.2014217376709,0.0,0.0
3.9471304416656494,0.0,22.206279754638672,0.0,0.0
4.172243356704712,0.0,22.210651397705078,0.0,0.0
4.3935253620147705,0.0,22.21458625793457,0.0,0.0
4.619108200073242,0.0,22.19312858581543,0.0,0.0
4.848187446594238,0.0,22.198816299438477,0.0,0.0
5.073369979858398,0.0,22.203933715820312,0.0,0.0
5.295149087905884,0.0,22.158538818359375,0.0,0.0
5.519996166229248,0.0,22.16768455505371,0.0,0.0
5.745154142379761,0.0,22.17591667175293,0.0,0.0
5.970178127288818,0.0,22.183324813842773,0.0,0.0
6.196092367172241,0.0,22.164993286132812,0.0,0.0
6.420555114746094,0.0,22.173494338989258,0.0,0.0
6.646040916442871,0.0,22.18114471435547,0.0,0.0
6.8714683055877686,0.0,22.188030242919922,0.0,0.0
7.097229719161987,0.0,22.169227600097656,0.0,0.0
7.322174072265625,0.0,22.177305221557617,0.0,0.0
7.5473103523254395,0.0,22.184574127197266,0.0,0.0
7.772535800933838,0.0,22.141115188598633,0.0,0.0
7.9975810050964355,0.0,22.15200424194336,0.0,0.0
8.223095417022705,0.0,22.261804580688477,0.0,0.0
8.447986841201782,0.0,22.385623931884766,0.0,0.0
8.674067974090576,0.0,22.672060012817383,0.0,0.0
8.898632049560547,0.0,22.979854583740234,0.0,0.0
9.124276638031006,0.0,23.281869888305664,0.0,0.0
9.349104166030884,0.0,23.478681564331055,0.0,0.0
9.575172424316406,0.0,23.780813217163086,0.0,0.0
9.799615144729614,0.0,24.02773094177246,0.0,0.0
10.025255680084229,0.0,24.349958419799805,0.0,0.0
10.246450185775757,0.0,24.664962768554688,0.0,0.0
10.471990823745728,0.0,24.973464965820312,0.0,0.0
10.697121381759644,0.0,25.251117706298828,0.0,0.0
10.922260522842407,0.0,25.501005172729492,0.0,0.0
11.14761757850647,0.0,25.800905227661133,0.0,0.0
